SEASON,WEEKENDING,MMWR_WEEK,MMWR_YEAR,us_aqi (USAQI),us_aqi_pm2_5 (USAQI),us_aqi_pm10 (USAQI),us_aqi_nitrogen_dioxide (USAQI),us_aqi_carbon_monoxide (USAQI),us_aqi_ozone (USAQI),us_aqi_sulphur_dioxide (USAQI),uv_index (),uv_index_clear_sky (),dust (μg/m³),aerosol_optical_depth (),ozone (μg/m³),sulphur_dioxide (μg/m³),nitrogen_dioxide (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),pm10 (μg/m³)
2024/2025,02/22/2025,8,2025,58,58,16,33,6,41,6,4.5,4.5,1.0714285714285714,0.10541666666666667,44.607142857142854,4.5339285714285715,28.79642857142857,12.532142857142858,323.1309523809524,14.644047619047617
2024/2025,03/01/2025,9,2025,72,72,22,36,6,46,6,4.7,5.05,1.6666666666666667,0.10053571428571428,47.26190476190476,4.405357142857143,32.082142857142856,15.245833333333334,398.95238095238096,18.10297619047619
2024/2025,03/08/2025,10,2025,54,54,15,29,5,44,4,5.0,5.0,0.5952380952380952,0.10214285714285715,60.93452380952381,2.7291666666666665,18.092261904761905,8.345238095238095,271.01785714285717,10.514880952380953
2024/2025,03/15/2025,11,2025,63,61,24,34,5,63,5,4.85,5.95,1.8988095238095237,0.1513095238095238,70.0297619047619,2.5690476190476192,18.129166666666666,10.22202380952381,278.20238095238096,13.21547619047619
2024/2025,03/22/2025,12,2025,65,65,26,23,4,47,3,5.9,6.2,1.5773809523809523,0.12863095238095237,66.69642857142857,2.655357142857143,13.989880952380954,9.399404761904762,247.88095238095238,12.456547619047617
2024/2025,03/29/2025,13,2025,65,65,23,38,6,59,4,6.8,6.9,2.9047619047619047,0.1398214285714286,65.75595238095238,2.575595238095238,18.324404761904763,12.770238095238096,269.7261904761905,16.495238095238093
2024/2025,04/05/2025,14,2025,61,61,22,24,4,50,4,6.65,6.75,1.8333333333333333,0.13976190476190475,76.10119047619048,2.5166666666666666,11.40952380952381,8.933928571428572,234.29166666666666,12.135714285714286
2024/2025,04/12/2025,15,2025,77,65,21,27,4,77,4,8.1,8.2,1.5238095238095237,0.1193452380952381,63.25,3.6017857142857146,18.575595238095236,11.260714285714286,249.5595238095238,13.746428571428572
2024/2025,04/19/2025,16,2025,58,58,19,23,3,58,3,7.75,7.95,1.8273809523809523,0.1648214285714286,76.86904761904762,2.6303571428571426,13.239285714285714,12.413095238095238,231.42857142857142,15.871428571428572
2024/2025,04/26/2025,17,2025,60,60,18,23,3,49,3,7.85,7.85,1.2619047619047619,0.14238095238095239,74.96428571428571,2.313690476190476,11.639880952380953,11.355357142857143,221.36904761904762,14.998214285714285
